"project_id","recommended_for_research","umbrella_project","donor","title","year","year_uncertain","description","crs_sector_code","crs_sector_name","sector_comment","status","status_code","flow","all_recipients","sources","sources_count","funding_agency","implementing_agency","donor_agency","donor_agency_count","recipient_agencies","recipient_agencies_count","verified","verified_code","flow_class","flow_class_code","intent","intent_code","active","active_code","factiva_sources","amount","currency","deflators_used","exchange_rates_used","usd_defl","usd_current","start_actual","start_planned","end_actual","end_planned","recipient_count","recipient_condensed","recipient_cow_code","recipient_oecd_code","recipient_oecd_name","recipient_iso3","recipient_iso2","recipient_un_code","recipient_imf_code","debt_uncertian","line_of_credit","is_cofinanced","is_ground_truthing","loan_type","interest_rate","maturity","grace_period","grant_element","updated_at","location_details","contacts",is_official_finance
"45671","true","false","China","(Kyra Solomon training project 11) China funds $835 million power project in Botswana (linked to #45680)","2012","true","In 2012, Standard Bank of South Africa worked with the Industrial and Commercial Bank of China to provide funding for the Morupule B Power Project in Botswana, valued at $835 million, as part of a trend of larger of Chinese investment in Africa. As of November 5, 2016, Botswana was set to sell the struggling power plant after it broke down and began relying on diesel generators and imports from South Africa. The sale is expected to take 6 to 12 months. SRA Feedback: Title & Description: Flow type and class difficult to figure out. Is this a loan or an FDI? Both the title and the first sentence of the description should make this clear. Could use more thorough description of the transaction. If you are not able to find info, clarify in staff note if you are unsure what the flow type or class is. Flow Class: If you don't know the loan terms or if the funding is not from the CDB or EXIM Bank you shouldn't put ODA. Put Vague Official Finance. ","160","Other Social infrastructure and services","","Pipeline: Commitment","11","Loan (excluding debt rescheduling)","South Africa","http://global.factiva.com/aa/?ref=AFNWS00020120118e81i000xh&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks; http://www.reuters.com/article/us-botswana-power-idUSKBN1300EQ, Media Report, including Wikileaks","2","Industrial and Commercial Bank of China (ICBC), State-Owned Company","","Industrial and Commercial Bank of China (ICBC), State-Owned Company","1","Standard Bank of South Africa Ltd., Private Sector","1","Checked","1","ODA-like","2","Development","1","Inactive","2","http://global.factiva.com/aa/?ref=AFNWS00020120118e81i000xh&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks","835000000.0","USD","0.99011154","1.0","843339327.203478","835000000.0","","","","","1","South Africa","560","218","South Africa","ZAF","ZA","710","199","false","false","false","false","","","","","","2017-06-13 14:32:04 -0400","","",0
"45680","true","false","China","(Kyra Solomon training project 12) China acquires 25% stake in South Africa's Shanduka Group for $243 million (linked to #45671)","2011","false","As part of a steady stream of Chinese investments in Africa, Standard Bank of South Africa advised on the 25% stake sale of Shanduka Group to China's sovereign-wealth fund China Investment Corp. for about $243 billion in December 2011. This deal is part of a 90% increase in Mergers & Acquisitions activity between China and South Africa since the end of 2011, mostly facilitated by Standard Bank. SRA Feedback: Title: Good. Description: Confusing, see other project comments on description. There is a structure laid out in the methodology you can reference. Flow Class: Should be FDI + Gov as China Investment Corp is state owned. If you're not sure whether a company is state owned, do a quick google search and you should find some indication near the top of the search results. ","320","Industry, Mining, Construction","","Completion","3","Foreign direct investment","South Africa","http://global.factiva.com/aa/?ref=CM00000020120117e81h00039&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks; https://www.wsj.com/articles/SB10001424052970204552304577114323469105032, Media Report, including Wikileaks","2","","","China Investment Corporation, Private Sector","1","","","Checked","1","FDI -Gov","10","Commercial","2","Inactive","2","http://global.factiva.com/aa/?ref=CM00000020120117e81h00039&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks","2000000.0","ZAR","0.94418159","7.263198205","291639.652281473","275360.790598169","","","","","1","South Africa","560","218","South Africa","ZAF","ZA","710","199","false","false","false","false","","","","","","2017-06-13 14:32:22 -0400","","",0
"16385","true","false","China","(deactivated - no $, commercial) Mining cooperation between SA, China","2007","false","In 2007, China and South Africa signed a cooperation agreement to boost their alliance in the mining field. The two parties will build partnerships, exchange information on production, consumption, and trade, and other projects to be agreed upon by both governments. A few companies are indicated to be involved in building future partnerships: Shenhua Group, China Minmetals Corporation, and Jinchuan Group. It is unclear exactly the terms of the agreement or how it will be employed.","320","Industry, Mining, Construction","","Pipeline: Commitment","11","Grant","South Africa","http://global.factiva.com/redir/default.aspx?P=sa&an=APRT000020070213e32d0001k&cat=a&ep=ASE, Media Report, including Wikileaks","1","","","","","","","Checked","1","Vague (Official Finance)","5","Mixed","4","Inactive","2","http://global.factiva.com/redir/default.aspx?P=sa&an=APRT000020070213e32d0001k&cat=a&ep=ASE, Media Report, including Wikileaks","","","","","","","","","","","1","South Africa","560","218","South Africa","ZAF","ZA","710","199","false","false","false","false","","","","","","2017-01-02 22:50:02 -0500","","",0
"15682","true","false","China","Agreement on investment protection","2000","false","In 2000, President Jiang Zemin and President Thabo Mbeki signed a series of agreements, including one on investment protection. It is unclear what the terms of the agreement were and how it was implemented. ","240","Banking and Financial Services","Economic and technical cooperation","Pipeline: Commitment","11","Unset","South Africa","http://global.factiva.com/redir/default.aspx?P=sa&an=chndly0020010805dw4p003dx&cat=a&ep=ASE, Media Report, including Wikileaks","1","","","","","","","Checked","1","Vague (Com)","13","Commercial","2","Active","1","http://global.factiva.com/redir/default.aspx?P=sa&an=chndly0020010805dw4p003dx&cat=a&ep=ASE, Media Report, including Wikileaks","","","","","","","","","","","1","South Africa","560","218","South Africa","ZAF","ZA","710","199","false","false","false","false","","","","","","2013-03-27 23:51:58 -0400","","",0
"15881","true","false","China","Agreement on taxes","2000","false","In 2000, Chinese President Jiang Zemin and South African President Thabo Mbeki met to sign a series of agreements, one of which included drafting an agreement on double taxation. The draft was later approved and signed with Nigeria and China. This project may not be bilateral. It is unclear what the terms of the agreement are or how it was implemented.","330","Trade and Tourism","","Pipeline: Commitment","11","Unset","South Africa","http://global.factiva.com/redir/default.aspx?P=sa&an=bbcaf00020010804dwa7000tl&cat=a&ep=ASE, Media Report, including Wikileaks; http://global.factiva.com/redir/default.aspx?P=sa&an=chndly0020010805dw4p003dx&cat=a&ep=ASE, Media Report, including Wikileaks","2","","","","","","","Checked","1","Vague (Official Finance)","5","Commercial","2","Inactive","2","http://global.factiva.com/redir/default.aspx?P=sa&an=bbcaf00020010804dwa7000tl&cat=a&ep=ASE, Media Report, including Wikileaks; http://global.factiva.com/redir/default.aspx?P=sa&an=chndly0020010805dw4p003dx&cat=a&ep=ASE, Media Report, including Wikileaks","","","","","","","","","","","1","South Africa","560","218","South Africa","ZAF","ZA","710","199","false","false","false","false","","","","","","2013-03-26 15:42:23 -0400","","Ron van der Merwe, ; Atiku Abubakar, ",0
"30529","true","false","China","CAIDC acquires controlling stake in gold mine (not a project)","2013","true","In 2013 it was reported that China-Africa Investment and Development Co., Ltd. acquired a controlling stake in joint venture between Poly Technologies Inc. and China Africa Development Fund. The project involved investment in gold mining in Africa. The international law firm, Simmons & Simmons advised CAIDC on this decision. After the transaction documents were signed, an investment structure was created and CAIDC currently holds 51% of shares in the company. The remaining 49% is held by another international mining group. The financial details and commitment date of this project are unknown. ","320","Industry, Mining, Construction","Gold mining","Completion","3","Foreign direct investment","South Africa","http://global.factiva.com/aa/?ref=MENREP0020130426e94q001v2&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks","1","China-Africa Development Fund, Public Private Partnership; Poly Technologies, State-Owned Company; China-Africa Investment Ltd., Private Sector","Simmons & Simmons","China-Africa Development Fund, Public Private Partnership; Poly Technologies, State-Owned Company; China-Africa Investment Ltd., Private Sector","3","","","Raw","0","FDI +Gov","9","Commercial","2","Inactive","2","http://global.factiva.com/aa/?ref=MENREP0020130426e94q001v2&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks","","","","","","","","","","","1","South Africa","560","218","South Africa","ZAF","ZA","710","199","false","false","false","false","","","","","","2014-11-17 16:29:02 -0500","","Eric Lin, Beijing Partner (Simmons & Simmons); Liz Hsu, Associate ; Geoffrey Mullen, Associate ; Chloe Xu, Associate ",0
"35054","true","false","China","CAPM Purchases Orkney Mines for ZAR 150 million","2011","false","In 2011, China Africa Precious Metals (CAPM) purchased South African Pamodzi Gold Orkney Ltd. out of liquidation for ZAR 150 million (USD 22 million). This followed a phased implementation plan to renew operations in Orkney mine after Pamodzi Gold Orkney ltd. went bankrupt in 2009. Gold Haven Ltd., a subsidiary of Shanghai Pengxin, owns a 74% stake in CAPM, while South Africa's BEK Holdings owns the remaining 26%. In 2013, CAPM announced its intent to invest ZAR 600 million to rehabilitate the mines (#59532).","320","Industry, Mining, Construction","","Completion","3","Foreign direct investment","South Africa","http://www.fin24.com/Companies/Mining/Chinese-firm-takes-over-Pamodzi-20121025, Media Report, including Wikileaks; http://www.miningweekly.com/article/chinese-to-invest-r600m-to-resuscitate-liquidated-orkney-gold-mine-khumalo-2013-11-11, Media Report, including Wikileaks; http://www.bloomberg.com/news/2011-08-05/china-african-precious-metals-to-buy-pamodzi-s-orkney-mine-build-smelter.html, Media Report, including Wikileaks; http://www.asiaminer.com/news/investment/5280-china-african-precious-metals-buys-orkney.html#.VIUVA3PI76s, Media Report, including Wikileaks; http://za.mofcom.gov.cn/article/jmxw/201303/20130300048276.shtml, Government Source (Donor/Recipient)","5","CHINA African Precious Metals (CAPM), Private Sector","","CHINA African Precious Metals (CAPM), Private Sector","1","","","Checked","1","FDI -Gov","10","Commercial","2","Active","1","","150000000.0","ZAR","0.94418159","7.263198205","21872973.9211105","20652059.2948627","","","","","1","South Africa","560","218","South Africa","ZAF","ZA","710","199","false","false","false","false","","","","","","2019-07-23 11:14:38 -0400","Orkney Mine","Elias Khumalo, CEO of BEK Holdings ",0
"30547","true","false","China","Car plant in coega IDZ (duplicate of #16675)","2013","false","Six major construction projects are currently under way in the Coega IDZ, including Chinese auto maker First Automobile Works' new R200-million plant, food service group Famous Brands Famous Brands' new cold storage plant, DCD Group's wind tower manufacturing plant, the addition of Coega Cheese onto the Coega Dairy outfit, Agni Steels' R400-million smelter facility, and Rehau's extension in the Nelson Mandela Bay Logistics Park. Significance: FAW currently does not have a manufacturing base in South Africa and it exports its vehicles to the country from China. With its investment in South Africa, the group aims to use the country as an export base for other parts of Africa. FAW's ZAR600-million plant forms part of the group's ZAR817-million investment in South Africa, with the balance to be used to develop grassroots part suppliers. China's CAD Fund, developed under the auspices of President Hu Jin Tao in 2006, has been used to help Chinese automakers enter markets in Africa. So far, Chinese automakers developing a presence in Africa include Chery, Lifan, and Brilliance (see Kenya: 11 August 2011: ; China - Ethiopia: 4 May 2011: ; and China - Benin: 4 May 2011: ). FAW also aims to tap into the vast opportunities that the emerging economies of the African region offer, given that not many established OEMs have a significant presence in the continent. The South African plant will be FAW's second in Africa, after the group opened a car assembly plant in Ethiopia last year (see China - Ethiopia: 3 January 2012: ).","250","Business and Other Services","","Implementation","2","Foreign direct investment","South Africa","http://global.factiva.com/aa/?ref=AFNWS00020130619e96j000vv&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks; http://www.southafrica.info/business/investing/coega-310713.htm#.Uk1upRZ8N5c, Media Report, including Wikileaks; http://global.factiva.com/aa/?ref=WDAN000020130801e9810000r&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks; http://www.iol.co.za/business/news/china-s-faw-invests-r600m-to-build-vehicle-plant-at-coega-idz-1.1245012#.U7v2I6gzvxo, Media Report, including Wikileaks; http://africanbrains.net/2011/11/30/south-africa-multi-million-dollar-plant-to-create-7-000-jobs/, Media Report, including Wikileaks","5","First Automotive Works (FAW) Group, State-Owned Company","","First Automotive Works (FAW) Group, State-Owned Company","1","","","Raw","0","FDI +Gov","9","Commercial","2","Inactive","2","http://global.factiva.com/aa/?ref=AFNWS00020130619e96j000vv&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks; http://global.factiva.com/aa/?ref=WDAN000020130801e9810000r&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks","200000000.0","ZAR","1.0378199","9.651337963","19967352.1818865","20722515.4446703","","","","","1","South Africa","560","218","South Africa","ZAF","ZA","710","199","false","false","false","false","","","","","","2014-11-29 21:07:15 -0500","Coega IDZ","",0
"25800","true","false","China","Cell-C contract with ZTE","2010","false","In January 2010, Cell C signed a $400 million equipment contract deal with ZTE in order to fund $680 million of infrastructure investment that Cell C targeted for 2010-2011.","220","Communications","Equipment financing","Pipeline: Commitment","11","Foreign direct investment","South Africa","http://www.rethink-wireless.com/2010/09/07/south-africas-cell-c-picks-chinese-cash-debt-recycling.htm, Media Report, including Wikileaks; http://global.factiva.com/redir/default.aspx?P=sa&an=TELAFR0020100830e68u00003&cat=a&ep=ASE, Media Report, including Wikileaks","2","Zhongxing Technologies (ZTE), State-Owned Company","","Zhongxing Technologies (ZTE), State-Owned Company","1","Cell C South Africa, Private Sector","1","Checked","1","Vague (Com)","13","Commercial","2","Inactive","2","http://global.factiva.com/redir/default.aspx?P=sa&an=TELAFR0020100830e68u00003&cat=a&ep=ASE, Media Report, including Wikileaks","400000000.0","USD","0.83432732","1.0","479428145.778566","400000000.0","","","","","1","South Africa","560","218","South Africa","ZAF","ZA","710","199","false","false","false","false","","","","","","2013-03-27 18:52:43 -0400","","",0
"15983","true","false","China","China Commits Grant Aid for Human Resources Projects to South Africa","2004","false","In July 2004, China exchanged letters with South Africa regarding a grant for aid in human resources projects. The deal was signed by Minister Trevor Manual, Minister of Finance, and Minister of Commerce, Bo Xilai. It is unclear what the terms of the agreement were or how much the deal is worth. ","150","Government and Civil Society","","Pipeline: Commitment","11","Grant","South Africa","http://global.factiva.com/aa/?ref=BBCAP00020040630e06u002jp&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks; http://news.xinhuanet.com/world/2004-06/29/content_1555120.htm, Media Report, including Wikileaks; https://www.fmprc.gov.cn/web/gjhdq_676201/gj_676203/fz_677316/1206_678284/xgxw_678290/t141287.shtml, Government Source (Donor/Recipient)","3","","","","","Ministry of Finance, Government Agency","1","Checked","1","ODA-like","2","Development","1","Active","1","http://global.factiva.com/aa/?ref=BBCAP00020040630e06u002jp&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks","","","","","","","","","","","1","South Africa","560","218","South Africa","ZAF","ZA","710","199","false","false","false","false","","","","","","2019-07-15 11:40:38 -0400","","Trevor Manual, ",1
